province_th,province_en,region,rice_type,year,production,yield,area,area_planted,yield_planted,price,price_low,price_high,price_low_alt,price_high_alt,price_basis,source,source_title,source_url,source_note,source_date
นครศรีธรรมราช,Nakhon Si Thammarat,south,white,2568,62282,483,128826,135395,460,0,,,,,,oae_stats_2568_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2568 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://www.oae.go.th,"Official OAE data Table 1.4, ข้าวเจ้าอื่นๆ (other white rice, excl. glutinous & Pathum Thani 1)",2 มีนาคม 2569 (กรมการข้าว)
นครศรีธรรมราช,Nakhon Si Thammarat,south,white,2569,57110,471,121229,127229,449,8000,7800,8200,6600,7000,moisture_15_pct,estimated_trend,ประมาณการแนวโน้ม (avg YoY 2565–2567),,"Trend estimation: production×(1+-0.0448)^2, yield×(1+-0.0072)^2, area×(1+-0.0382)^2",
นครศรีธรรมราช,Nakhon Si Thammarat,south,jasmine,2565,617,351,1756,1788,345,0,,,,,,oae_stats_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2567 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://catalog.oae.go.th/dataset/ba103542-830f-418a-b614-9645ebbe1a93/resource/4d5d1421-bb3b-4635-a43d-f6167d619db1/download/fd747711b82231d4.pdf,sum of OAE Agricultural Statistics 2024 Table 1.4 province rows: ข้าวเจ้าหอมมะลิในพื้นที่ + ข้าวเจ้าหอมมะลินอกพื้นที่,
นครศรีธรรมราช,Nakhon Si Thammarat,south,jasmine,2566,709,338,2095,2114,335,0,,,,,,oae_stats_2568_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2568 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://www.oae.go.th,"Official OAE data Table 1.4, ข้าวเจ้าหอมมะลิ (in-area + outside-area combined)",
นครศรีธรรมราช,Nakhon Si Thammarat,south,jasmine,2567,125,348,359,359,348,0,,,,,,oae_stats_2568_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2568 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://www.oae.go.th,"Official OAE data Table 1.4, ข้าวเจ้าหอมมะลิ (in-area + outside-area combined)",
นครศรีธรรมราช,Nakhon Si Thammarat,south,jasmine,2568,72,344,209,209,344,0,,,,,,oae_stats_2568_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2568 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://www.oae.go.th,"Official OAE data Table 1.4, ข้าวเจ้าหอมมะลิ (in-area + outside-area combined)",2 มีนาคม 2569 (กรมการข้าว)
นครศรีธรรมราช,Nakhon Si Thammarat,south,jasmine,2569,823,333,2478,2481,333,0,,,,,,estimated_trend,ประมาณการแนวโน้ม (avg YoY 2565–2567),,"Trend estimation: production×(1+0.0760)^2, yield×(1+-0.0126)^2, area×(1+0.0922)^2",
ภูเก็ต,Phuket,south,white,2565,20,444,45,45,444,0,,,,,,oae_stats_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2567 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://catalog.oae.go.th/dataset/ba103542-830f-418a-b614-9645ebbe1a93/resource/4d5d1421-bb3b-4635-a43d-f6167d619db1/download/fd747711b82231d4.pdf,"direct province row from OAE Agricultural Statistics 2024 Table 1.4, rice type = ข้าวเจ้าอื่นๆ",
ภูเก็ต,Phuket,south,white,2566,19,442,43,43,442,0,,,,,,oae_stats_2568_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2568 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://www.oae.go.th,"Official OAE data Table 1.4, ข้าวเจ้าอื่นๆ (other white rice, excl. glutinous & Pathum Thani 1)",
ภูเก็ต,Phuket,south,white,2567,9,346,26,26,346,0,,,,,,oae_stats_2568_table_1_4,สถิติการเกษตรของประเทศไทย ปี 2568 · ตารางที่ 1.4 ข้าวนาปีแยกพันธุ์,https://www.oae.go.th,"Official OAE data Table 1.4, ข้าวเจ้าอื่นๆ (other white rice, excl. glutinous & Pathum Thani 1)",
